16.114000	16.114000	B
16.144000	16.144000	B
16.155000	16.155000	B
16.615000	16.615000	B
16.619000	16.619000	B
17.119000	17.119000	B
17.210000	17.210000	B
17.225000	17.225000	B
17.614000	17.614000	B
18.120000	18.120000	B
18.621000	18.621000	B
19.120000	19.120000	B
19.619000	19.619000	B
20.122000	20.122000	B
20.612000	20.612000	B
21.119000	21.119000	B
21.620000	21.620000	B
21.709000	21.709000	B
21.728000	21.728000	B
22.119000	22.119000	B
22.615000	22.615000	B
23.120000	23.120000	B
23.207000	23.207000	B
23.619000	23.619000	B
24.119000	24.119000	B
24.192000	24.192000	B
24.203000	24.203000	B
24.249000	24.249000	B
24.276000	24.276000	B
24.619000	24.619000	B
25.119000	25.119000	B
25.614000	25.614000	B
26.113000	26.113000	B
26.613000	26.613000	B
27.119000	27.119000	B
27.619000	27.619000	B
28.115000	28.115000	B
28.141000	28.141000	B
28.619000	28.619000	B
29.115000	29.115000	B
29.119000	29.119000	B
29.614000	29.614000	B
30.113000	30.113000	B
30.299000	30.299000	B
30.614000	30.614000	B
31.119000	31.119000	B
31.187000	31.187000	B
31.203000	31.203000	B
31.275000	31.275000	B
31.614000	31.614000	B
31.704000	31.704000	B
31.722000	31.722000	B
32.114000	32.114000	B
32.119000	32.119000	B
32.619000	32.619000	B
33.119000	33.119000	B
33.619000	33.619000	B
48.119000	48.119000	B
48.619000	48.619000	B
49.115000	49.115000	B
49.620000	49.620000	B
50.116000	50.116000	B
50.620000	50.620000	B
51.119000	51.119000	B
51.203000	51.203000	B
51.277000	51.277000	B
51.619000	51.619000	B
52.119000	52.119000	B
52.614000	52.614000	B
53.119000	53.119000	B
53.620000	53.620000	B
54.115000	54.115000	B
54.119000	54.119000	B
54.275000	54.275000	B
54.297000	54.297000	B
54.323000	54.323000	B
54.614000	54.614000	B
55.120000	55.120000	B
55.202000	55.202000	B
55.619000	55.619000	B
55.704000	55.704000	B
56.119000	56.119000	B
56.209000	56.209000	B
56.223000	56.223000	B
56.246000	56.246000	B
56.273000	56.273000	B
56.620000	56.620000	B
